Employee ID,Project ID,Progress
4740629,5,0.55
5836725,5,0.47
4302430,5,0.21
7859240,5,0.77
9668991,5,0.13
3693208,5,0.88
5022031,5,0.85
5449270,5,0.88
3813391,5,0.42
2083495,5,0.54
1115899,5,0.45
9512278,5,0.53
3133785,5,0.43
7775303,5,0.92
3424619,5,0.22
8439123,5,0.67
7351817,5,0.14
7217199,5,0.79
9053076,5,0.87
2472408,5,0.62
5433655,5,0.1
5988334,5,0.11
5927231,5,0.57
4015036,5,0.12
9438648,5,0.6
1207444,5,0.86
2203891,5,0.42
4665796,5,0.62
9625773,5,0.71
5669164,5,0.95
8184031,5,0.1
3059586,5,0.7
7571947,5,0.2
2249787,5,0.77
8678942,5,0.22
5735409,5,0.29
1912314,5,0.8
4018734,5,0.53
2034289,5,0.44
8016603,5,0.79
2747232,5,0.38
8327753,5,0.48
2760008,5,0.31
7958092,5,0.45
4183271,5,0.17
9461482,5,0.14
3815870,5,0.61
9622488,5,0.81
2296812,5,0.42
6414194,5,0.95
8137933,5,0.59
2721853,5,0.9
5768220,5,0.77
3915211,5,0.54
7288546,5,0.52
1353498,5,0.66
2880067,5,0.79
2526444,5,0.75
7020513,5,0.79
4881781,5,0.33
7172759,5,0.41
5721240,5,0.76
9770493,5,0.79
9010089,5,0.12
9860878,5,0.92
9044312,5,0.34
1866647,5,0.52
3980605,5,0.68
6491752,5,0.61
1335477,5,0.3
9053758,5,0.89
2260231,5,0.42
8160954,5,0.49
1883889,5,0.75
2885147,5,0.25
6460628,5,0.32
1503602,5,0.69
2269631,5,0.61
7650903,5,0.4
4830110,5,0.93
9473295,5,0.12
4545419,5,0.76
7392901,5,0.87
4702865,5,0.86
7664165,5,0.65
5704270,5,0.28
2197104,5,0.57
5136469,5,0.85
5467668,5,0.89
9944618,5,0.54
1464473,5,0.31
6402404,5,0.69
7889572,5,0.38
3431586,5,0.3
6093678,5,0.75
2682982,5,0.68
1888151,5,0.73
7573663,5,0.65
3685014,5,0.18
5127478,5,0.14
6836490,5,0.57
2668011,5,0.59
2910286,5,0.15
8205151,5,0.25
7716248,5,0.1
8156572,5,0.76
6061515,5,0.94
9388957,5,0.56
6242363,5,0.46
5856337,5,0.48
9413798,5,0.44
6982280,5,0.86
5591377,5,0.36
9302482,5,0.72
4644218,5,0.1
2315398,5,0.85
6007032,5,0.72
8396010,5,0.1
3264270,5,0.35
1861227,5,0.42
9306304,5,0.89
6135837,5,0.36
5319546,5,0.89
4072974,5,0.58
4121282,5,0.18
8311034,5,0.59
4460970,5,0.57
3895363,5,0.41
3746476,5,0.75
5524502,5,0.88
7075189,5,0.62
2347729,5,0.71
9483170,5,0.1
6775282,5,0.19
5591104,5,0.41
1745410,5,0.75
2764874,5,0.29
7724859,5,0.76
4350380,5,0.23
1787923,5,0.86
7511494,5,0.34
3331276,5,0.95
8557531,5,0.74
7975039,5,0.44
9036472,5,0.89
8868659,5,0.32
1584231,5,0.13
5814600,5,0.55
3121429,5,0.26
7448980,5,0.82
6839655,5,0.66
4555426,5,0.49
9250136,5,0.57
9105771,5,0.42
2724701,5,0.16
1998900,5,0.25
7893821,5,0.86
3917136,5,0.51
4714879,5,0.27
6858869,5,0.28
8111412,5,0.53
7808521,5,0.13
1177646,5,0.26
2300449,5,0.29
7263147,5,0.25
5410382,5,0.17
7977785,5,0.34
1825832,5,0.68
4226345,5,0.25
9395721,5,0.83
5136680,5,0.13
1350571,5,0.1
5551768,5,0.91
4701981,5,0.86
4697224,5,0.78
9840220,5,0.35
1931028,5,0.51
1599125,5,0.67
1983802,5,0.68
4874973,5,0.15
1400471,5,0.19
6093405,5,0.44
3566887,5,0.46
9720641,5,0.41
4128509,5,0.5
3060171,5,0.17
7017872,5,0.52
5032293,5,0.19
3422041,5,0.77
2754358,5,0.18
8170932,5,0.18
2548395,5,0.8
5825537,5,0.85
5189061,5,0.53
